steps	cost
0	    117587,301189
500	    188854,708295
1000	240843,30147
1500	216325,754681
2000	231801,342998
2500	234048,307718
3000	185012,560607
3500	184009,430287
4000	157796,968316
4500	165252,715658
5000	106653,417166
5500	153744,703822
6000	134389,793212
6500	167101,858058
7000	180305,225944
7500	138022,587771
8000	147414,408848
8500	110084,952929
9000	128482,410541
9500	124163,192297
10000	128014,161864
10500	132288,823112
11000	128791,372553
11500	109737,790105
12000	98983,7530647
12500	107473,873282
13000	107589,105734
13500	103573,730136
14000	105247,160395
14500	80333,5382033
15000	77625,0033813
15500	78466,2859538
16000	69351,6723443
16500	70115,3987754
17000	64710,9340875
17500	66271,3881645
18000	70967,104275
18500	67860,4961666
19000	59619,0
19500	62817,0993154
20000	62514,5395454
20500	69962,6246608
21000	61316,7137538
21500	59775,0
22000	59772,0
22500	61607,0
23000	62012,0
23500	61536,0
24000	62173,0
24500	61652,0
25000	62156,582607
25500	61196,0
26000	59870,0
26500	59296,0
27000	58931,0
27500	58577,0
28000	58576,0
28500	58931,0
29000	58726,0
29500	58560,0
30000	58475,0
30500	58537,0
31000	58597,0
31500	58381,0
32000	58302,0
32500	58507,0
33000	58520,0
33500	58391,0
34000	58288,0
34500	58219,0
35000	58189,0
35500	58129,0
36000	58148,0
36500	58027,0
37000	58042,0
37500	58044,0
38000	58126,0
38500	58104,0
39000	58041,0
39500	58025,0
40000	58016,0
40500	58023,0
41000	57994,0
41500	57984,0
42000	57976,0
42500	57937,0
43000	57913,0
43500	57897,0
44000	57879,0
44500	57874,0
45000	57874,0
45500	57866,0
46000	57866,0
46500	57871,0
47000	57861,0
47500	57848,0
48000	57840,0
48500	57837,0
49000	57829,0
49500	57824,0
50000	57817,0
